Time,x,y,z,q_x,q_y,q_z,q_w
3.798,0.3242996958191917,0.0,0.5114979702496616,1,0,0,0
3.798,0.3242996958191917,0.0,0.5114979702496616,1,0,0,0
3.808,0.32449508697091,0.0,0.5111745734577999,1,0,0,0
3.818,0.3246921286523607,0.0,0.5108514797023442,1,0,0,0
3.828,0.32489081867525416,0.0,0.5105286948669162,1,0,0,0
3.838,0.32509115482635376,0.0,0.5102062248282643,1,0,0,0
3.848,0.3252931348675073,0.0,0.5098840754561673,1,0,0,0
3.858,0.32549675653567894,0.0,0.5095622526133377,1,0,0,0
3.868,0.3257020175429816,0.0,0.5092407621553242,1,0,0,0
3.878,0.32590891557670953,0.0,0.5089196099304166,1,0,0,0
3.888,0.3261174482993717,0.0,0.5085988017795483,1,0,0,0
3.898,0.3263276133487251,0.0,0.5082783435362003,1,0,0,0
3.908,0.3265394083378087,0.0,0.507958241026305,1,0,0,0
3.918,0.32675283085497775,0.0,0.5076385000681509,1,0,0,0
3.928,0.32696787846393827,0.0,0.5073191264722855,1,0,0,0
3.9379999999999997,0.32718454870378255,0.0,0.5070001260414205,1,0,0,0
3.948,0.3274028390890242,0.0,0.5066815045703359,1,0,0,0
3.958,0.3276227471096341,0.0,0.5063632678457847,1,0,0,0
3.968,0.32784427023107676,0.0,0.5060454216463965,1,0,0,0
3.9779999999999998,0.3280674058943468,0.0,0.5057279717425844,1,0,0,0
3.988,0.32829215151600594,0.0,0.5054109238964479,1,0,0,0
3.998,0.3285185044882206,0.0,0.5050942838616789,1,0,0,0
4.008,0.32874646217879927,0.0,0.5047780573834667,1,0,0,0
4.018,0.32897602193123116,0.0,0.5044622501984038,1,0,0,0
4.028,0.32920718106472435,0.0,0.5041468680343908,1,0,0,0
4.038,0.3294399368742449,0.0,0.5038319166105419,1,0,0,0
4.048,0.329674286630556,0.0,0.5035174016370921,1,0,0,0
4.058,0.329910227580258,0.0,0.5032033288153014,1,0,0,0
4.068,0.3301477569458281,0.0,0.5028897038373618,1,0,0,0
4.078,0.33038687192566096,0.0,0.5025765323863034,1,0,0,0
4.088,0.33062756969410956,0.0,0.502263820135901,1,0,0,0
4.098,0.33086984740152625,0.0,0.5019515727505806,1,0,0,0
4.108,0.3311137021743047,0.0,0.5016397958853254,1,0,0,0
4.118,0.3313591311149214,0.0,0.5013284951855841,1,0,0,0
4.128,0.33160613130197825,0.0,0.5010176762871767,1,0,0,0
4.138,0.3318546997902455,0.0,0.5007073448162022,1,0,0,0
4.148,0.33210483361070425,0.0,0.500397506388946,1,0,0,0
4.158,0.33235652977059066,0.0,0.5000881666117872,1,0,0,0
4.168,0.3326097852534389,0.0,0.499779331081107,1,0,0,0
